Fecha;SKU 1;SKU 2;SKU 3;SKU 4;SKU 5;SKU 6;SKU 7;SKU 8;SKU 9;SKU 10;SKU 11;SKU 12;SKU 13;SKU 14;SKU 15;SKU 16;SKU 17;SKU 18;SKU 19;SKU 20;SKU 21;SKU 22;SKU 23;SKU 24;SKU 25;SKU 26;SKU 27;SKU 28;SKU 29;SKU 30
01/01/2017;3.09;906.29;58.52;35.60;0.00;18.44;0.17;0.60;227.52;30.79;60.87;3.31;69.71;25.11;29.98;2.02;138.68;6.99;38.07;78.35;0.83;116.05;854.44;60.70;52.88;9.47;-0.69;612.22;1644.18;1071.19
01/02/2017;3.08;1835.45;25.83;75.46;0.00;41.61;26.95;4.55;283.34;52.23;75.68;3.86;138.41;27.13;134.45;-2.94;119.19;16.46;39.36;61.79;0.28;115.31;628.01;91.23;57.65;6.80;-0.26;869.47;1961.76;978.12
01/03/2017;3.87;2783.67;10.00;39.44;0.17;33.45;7.21;0.34;-14.83;150.99;94.06;2.21;246.65;23.35;98.20;1.29;228.99;72.36;56.83;119.36;1.29;150.52;1253.28;97.67;121.45;12.41;11.59;570.04;2887.12;1869.44
01/04/2017;2.12;2255.89;20.63;30.55;0.00;83.15;13.04;2.49;183.36;64.46;76.22;5.79;191.65;18.85;91.30;0.09;119.17;30.08;29.32;57.27;0.18;70.52;633.82;55.27;45.52;28.13;24.37;836.46;2003.03;1242.25
01/05/2017;2.90;2103.51;10.01;42.23;0.00;53.54;4.63;0.26;77.24;50.39;96.64;2.21;106.59;12.69;72.64;-0.61;118.15;37.43;34.66;27.58;0.18;26.39;1150.01;51.87;51.13;7.90;5.88;-133.63;1630.50;763.52
01/06/2017;4.00;2298.71;10.44;37.19;0.26;44.45;3.26;1.63;155.03;96.46;98.20;1.10;118.45;10.94;158.44;6.99;101.80;73.39;40.17;44.77;0.83;50.84;928.10;55.36;11.41;10.48;10.39;389.53;1633.55;778.70
01/07/2017;2.40;1999.13;11.87;174.63;0.00;29.50;4.11;0.43;757.33;40.64;102.80;1.38;38.35;18.11;111.35;5.70;139.12;11.77;30.43;58.93;0.64;14.90;516.92;40.46;3.31;5.05;2.93;1200.28;1892.20;1105.04
01/08/2017;4.83;1961.18;50.06;80.06;0.00;21.96;3.35;2.83;187.59;91.60;103.25;1.20;130.03;36.51;134.81;24.64;139.22;54.44;14.89;105.84;0.28;53.97;958.26;29.16;22.89;9.46;6.25;165.76;2010.63;1173.94
01/09/2017;0.92;1859.88;13.62;37.41;0.00;46.06;22.06;5.24;23.61;204.05;134.98;5.70;90.56;24.92;114.02;16.82;88.93;56.19;35.77;54.63;0.28;83.13;1094.38;33.47;20.23;13.51;11.21;402.28;2089.60;1164.03
01/10/2017;2.86;2032.39;21.17;37.13;0.00;24.19;1.97;0.09;213.43;88.55;106.93;1.93;81.67;23.36;125.60;10.20;116.70;93.16;29.41;47.90;0.00;45.60;1227.90;49.10;104.09;10.39;7.26;394.93;1522.82;882.36
01/11/2017;2.95;2817.89;51.97;295.71;0.00;36.52;-4.13;-2.99;289.31;-33.35;203.11;-0.52;103.91;39.81;143.90;12.12;147.33;114.21;25.17;74.18;0.73;141.68;1233.16;75.50;215.18;17.19;18.29;2859.10;2863.40;1691.76
01/12/2017;2.08;4291.17;177.27;622.27;0.00;93.16;13.21;1.03;1002.59;212.61;222.59;3.77;164.81;58.84;355.25;12.31;263.30;60.78;100.55;136.62;0.83;162.64;1046.62;106.76;180.80;35.48;17.84;2663.86;3747.21;2600.05
01/01/2018;2.47;1343.96;31.84;47.52;0.00;78.16;18.31;4.26;98.63;211.14;92.97;9.67;151.02;38.50;0.44;37.03;197.18;44.35;54.54;110.85;1.46;128.82;636.12;49.46;-5.68;22.98;14.14;1151.55;2478.07;1504.48
